clip,source_id,duration_s,snr_db,clipping_ratio,peak_dbfs,lufs,nonspeech_ratio,qc_pass,qc_reasons
en_nptel_lecture_demo_0050.wav,en_nptel_lecture_demo,7.8,11.2,0.00165,0.0,-15.1,0.046,False,low_snr(11.2dB)
en_nptel_lecture_demo_0051.wav,en_nptel_lecture_demo,6.4,37.5,0.0,-2.83,-22.3,0.01,True,
en_nptel_lecture_demo_0052.wav,en_nptel_lecture_demo,10.8,36.3,0.00016,0.0,-19.0,0.023,True,
en_nptel_lecture_demo_0053.wav,en_nptel_lecture_demo,6.2,27.5,0.0,-3.23,-20.6,0.005,True,
en_nptel_lecture_demo_0054.wav,en_nptel_lecture_demo,18.4,48.7,0.00195,0.0,-14.4,0.009,False,too_long(18.4s)
en_nptel_lecture_demo_0055.wav,en_nptel_lecture_demo,13.7,14.3,0.00724,0.0,-12.8,0.122,False,low_snr(14.3dB)
en_nptel_lecture_demo_0056.wav,en_nptel_lecture_demo,4.1,48.6,0.00105,0.0,-14.4,0.041,True,
en_nptel_lecture_demo_0057.wav,en_nptel_lecture_demo,14.05,48.2,0.00368,0.0,-13.6,0.005,True,
en_nptel_lecture_demo_0058.wav,en_nptel_lecture_demo,14.05,5.1,0.00077,0.0,-16.5,0.081,False,low_snr(5.1dB)
en_nptel_lecture_demo_0059.wav,en_nptel_lecture_demo,17.7,37.6,0.00315,0.0,-13.3,0.048,True,
en_nptel_lecture_demo_0060.wav,en_nptel_lecture_demo,10.2,36.7,0.00438,0.0,-12.9,0.054,True,
en_nptel_lecture_demo_0061.wav,en_nptel_lecture_demo,4.3,44.2,0.00365,0.0,-14.6,0.114,True,
en_nptel_lecture_demo_0062.wav,en_nptel_lecture_demo,9.0,41.6,0.00456,0.0,-12.7,0.023,True,
en_nptel_lecture_demo_0063.wav,en_nptel_lecture_demo,6.4,23.5,0.00019,0.0,-18.5,0.041,True,
en_nptel_lecture_demo_0064.wav,en_nptel_lecture_demo,5.5,12.6,5e-05,-0.0,-17.5,0.105,False,low_snr(12.6dB)
en_nptel_lecture_demo_0065.wav,en_nptel_lecture_demo,4.6,47.8,0.00152,0.0,-15.6,0.041,True,
en_nptel_lecture_demo_0066.wav,en_nptel_lecture_demo,6.7,38.2,0.00087,0.0,-19.1,0.068,True,
en_nptel_lecture_demo_0067.wav,en_nptel_lecture_demo,12.0,33.3,0.007,0.0,-11.8,0.027,False,too_loud(-11.8LUFS)
en_nptel_lecture_demo_0068.wav,en_nptel_lecture_demo,12.0,44.5,0.00164,0.0,-14.0,0.025,True,
en_nptel_lecture_demo_0069.wav,en_nptel_lecture_demo,6.4,46.1,0.00558,0.0,-12.7,0.005,True,
en_nptel_lecture_demo_0070.wav,en_nptel_lecture_demo,10.9,17.3,0.00186,0.0,-13.9,0.039,False,low_snr(17.3dB)
en_nptel_lecture_demo_0071.wav,en_nptel_lecture_demo,15.05,22.0,0.00195,0.0,-14.2,0.03,True,
en_nptel_lecture_demo_0072.wav,en_nptel_lecture_demo,15.05,-0.1,0.00073,0.0,-14.9,0.161,False,low_snr(-0.1dB)
en_nptel_lecture_demo_0073.wav,en_nptel_lecture_demo,14.9,52.0,0.00054,0.0,-14.1,0.061,True,
en_nptel_lecture_demo_0074.wav,en_nptel_lecture_demo,7.7,25.7,0.00195,0.0,-14.8,0.054,True,
en_nptel_lecture_demo_0075.wav,en_nptel_lecture_demo,9.8,38.6,0.00265,0.0,-14.0,0.074,True,
en_nptel_lecture_demo_0076.wav,en_nptel_lecture_demo,14.8,38.7,0.0029,0.0,-13.6,0.094,True,
en_nptel_lecture_demo_0077.wav,en_nptel_lecture_demo,13.03,38.8,0.00543,0.0,-13.1,0.01,True,
en_nptel_lecture_demo_0078.wav,en_nptel_lecture_demo,13.03,9.4,0.00028,0.0,-16.0,0.062,False,low_snr(9.4dB)
en_nptel_lecture_demo_0079.wav,en_nptel_lecture_demo,13.03,7.3,0.00037,0.0,-17.5,0.072,False,low_snr(7.3dB)
en_nptel_lecture_demo_0080.wav,en_nptel_lecture_demo,19.3,38.8,0.0024,0.0,-13.7,0.064,False,too_long(19.3s)
en_nptel_lecture_demo_0081.wav,en_nptel_lecture_demo,11.95,47.2,0.00198,0.0,-14.7,0.017,True,
en_nptel_lecture_demo_0082.wav,en_nptel_lecture_demo,11.95,37.8,0.00451,0.0,-12.9,0.085,True,
en_nptel_lecture_demo_0083.wav,en_nptel_lecture_demo,11.7,35.0,0.00452,0.0,-12.7,0.011,True,
en_nptel_lecture_demo_0084.wav,en_nptel_lecture_demo,12.6,15.5,0.00268,0.0,-12.8,0.043,False,low_snr(15.5dB)
en_nptel_lecture_demo_0085.wav,en_nptel_lecture_demo,12.5,40.4,0.00159,0.0,-14.7,0.029,True,
en_nptel_lecture_demo_0086.wav,en_nptel_lecture_demo,11.1,12.2,0.00324,0.0,-14.4,0.041,False,low_snr(12.2dB)
en_nptel_lecture_demo_0087.wav,en_nptel_lecture_demo,11.1,7.9,0.00043,0.0,-17.6,0.033,False,low_snr(7.9dB)
en_nptel_lecture_demo_0088.wav,en_nptel_lecture_demo,8.5,15.9,1e-05,0.0,-18.9,0.062,False,low_snr(15.9dB)
